malId|malScore|popularity|favorites
1003|7.52|25663|42
1004|7.3|91036|291
1005|6.59|12126|26
1006|7.42|21889|42
1007|7.74|29463|64
1008|7.61|17488|30
1009|4.8|3213|6
1010|7.37|15233|7
1011|7.65|17462|20
1012|6.43|1596|1
1013|7.21|54810|223
1014|7.03|5153|6
1015|7.67|68231|93
1016|7.08|52727|211
1017|7.12|40474|153
1018|6.79|16522|20
1019|6.52|21676|72
1020|6.83|9970|24
1021|7.36|12346|106
1022|6.89|8853|27
1023|8.01|60495|331
1024|6.85|5312|25
1025|6.98|28174|106
1026|6.05|3971|5
1027|5.35|2037|3
1028|6.91|11456|42
1029|7.44|119823|942
1030|7.31|90101|255
1031|4.99|2542|3
1032|6.79|7007|13
1033|8.25|154008|2141
1034|7.5|39412|249
1035|6.54|3640|3
1036|5.97|4838|6
1037|6|8602|13
1038|5.81|2318|2
1039|6.35|3559|2
1040|7.04|4064|13
1041|6.36|11819|40
1042|6.38|10107|33
1043|6.7|17549|32
1044|6.5|7503|12
1045|7|23344|41
1046|7.02|12001|13
1047|7.46|30616|80
1048|6.35|24135|62
1049|6.89|13085|19
1050|7.48|83741|967
1051|7.02|51326|228
1052|5.3|1846|2
1053|4.89|3191|2
1055|5.92|28490|76
1056|6.09|6339|4
1057|6.24|6085|7
1058|5.72|1779|1
1059|5.23|2751|14
1060|7.38|46767|323
1062|6.45|10311|64
1064|7.32|9422|55
1065|8.01|31289|508
1066|7.08|33729|22
1067|6.55|34866|38
1068|6.71|3136|8
1069|7.43|6862|70
1070|6.52|7866|8
1071|6.04|2855|1
1072|7.35|35818|180
1074|6.78|74023|101
1075|5.24|1817|2
1076|5.77|2671|1
1078|7.33|29662|32
1079|7.02|30120|115
1080|7.2|16895|156
1081|7.33|7396|30
1082|6.77|13646|23
1083|6.28|3522|1
1084|5.95|9401|7
1085|6.42|12854|18
1086|7.16|20047|32
1087|7.54|41095|528
1088|7.92|95567|1573
1089|7.96|41607|654
1090|7.26|33602|53
1091|7.35|27659|34
1092|7.76|27586|124
1093|6.75|2834|15
1094|7.24|32233|24
1095|7.55|38796|209
1096|7.93|30064|582
1097|5.91|9867|11
1098|5.94|9524|10
1099|5.9|2074|4
1100|6.04|4530|3
1101|7.12|14638|13
1102|4.49|3664|3
1103|6.67|15887|34
1104|6.93|7595|6
1105|5.5|6008|0
1106|5.9|9141|16
1107|6.45|42899|164
1108|7.1|16042|70
1109|6.63|9996|12
1110|7.15|39968|200
1111|6.89|7144|3
1112|6.78|7172|5
1113|6.25|3268|13
1115|5.68|3640|4
1116|7.12|5788|9
1117|7.33|171109|191
1118|7.07|161424|136
1119|6.89|138844|64
1120|7.15|106951|96
1121|6.74|87501|21
1122|6.96|102022|36
1123|6.69|7290|6
1124|7.09|8022|10
1126|7.2|12153|60
1127|6.72|18582|40
1128|6.93|8986|13
1129|6.84|3512|1
1130|6.49|8301|29
1132|7.15|143025|524
1133|7.16|28496|123
1135|6.99|11435|8
1136|6.59|13444|72
1137|6.95|14592|73
1138|7.07|53317|238
1139|5.87|766|4
1140|7.08|68084|173
1141|6.55|6751|16
1142|8.23|99167|939
1143|6.53|22233|6
1144|7.21|15075|20
1145|7.16|12871|31
1146|7.34|14380|14
1147|7.22|10871|14
1148|5.94|8788|28
1149|6.63|8218|11
1150|5.99|4866|7
1151|6.9|15236|50
1152|6.91|9734|34
1153|6.44|10064|35
1154|5.54|1300|8
1155|5.86|2009|4
1156|6.03|9538|9
1157|6.19|34485|76
1158|6.28|2856|7
1159|6.3|1678|3
1160|5.43|3631|1
1161|6.62|6035|10
1162|6.05|3067|3
1163|6.55|12225|20
1164|7.16|19766|71
1165|6.55|5269|3
1166|6.84|4194|8
1167|5.98|8570|9
1168|7.22|8519|10
1169|6.61|5707|11
1170|7.36|18169|22
1171|7.32|19008|16
1172|7.82|50950|211
1174|6.79|18922|43
1175|6.12|3782|8
1176|5.69|1816|0
1177|6.7|32624|381
1178|6.39|5578|13
1179|7|6582|23
1180|6.99|9475|38
1181|6.67|7642|14
1182|6.63|11057|42
1183|5.58|4323|4
1184|7.01|15315|47
1185|6.47|5402|6
1186|6.91|8485|33
1187|6.53|11978|7
1188|6.09|2463|1
1189|6.48|6054|6
1190|7.37|15141|20
1191|7.23|10892|14
1192|6.68|35491|102
1193|6.28|4984|5
1194|6.64|19274|31
1195|7.26|741898|7538
1196|7.2|8651|59
1198|6.58|18584|18
1199|7.08|6371|64
1200|5.63|7128|18
1202|6.13|12829|14
1203|7.32|8722|19
1204|6.62|8020|29
1205|7.08|24085|111
1206|7.19|7021|27
1207|6.85|5071|21
1208|6.81|3629|7
1209|7.01|8653|8
1210|8.32|638570|23097
1211|7.72|15315|78
1212|7.5|46706|486
1214|6.87|19602|37
1215|7.14|21547|38
1216|5.45|9314|4
1217|6.33|7655|7
1218|6.71|45856|46
1219|6.77|19921|33
1220|5.74|11248|6
1221|6.39|30266|132
1222|7.27|216809|1881
1223|5.78|8693|4
1224|6.08|12566|16
1225|6.93|13460|37
1226|5.96|8340|5
1227|5.72|2939|2
1228|5.95|3388|3
1230|6.8|25546|60
1231|7.29|13507|37
1232|6.59|7564|5
1233|6.49|7061|15
1234|6.02|3978|1
1235|6.45|6378|2
1236|6.97|2363|14
1237|7.25|28416|19
1238|7.35|27205|8
1239|7.61|105411|469
1240|7.55|37559|49
1241|7.41|22013|50
1243|6.76|29269|59
1244|5.54|2066|3
1245|5.8|8585|12
1246|7.09|11255|25
1247|6.63|3312|7
1248|6.87|8546|13
1249|6.94|10974|31
1250|7.26|90257|439
1251|7.52|57364|444
1252|5.32|6936|1
1253|7.75|45366|144
1254|7.74|167667|3589
1255|7.21|14615|22
1256|6.8|17543|12
1257|8.04|51377|338
1258|6.87|15789|19
1259|7.21|21859|57
1260|6.77|14811|14
1261|7.03|12083|57
1262|6.31|11241|23
1263|6.44|5335|9
1264|7.07|17042|147
1265|6.56|2721|8
1266|6.51|2335|6
1267|5.93|2133|5
1268|5.78|3291|1
1269|5.91|12197|7
1270|6.36|13720|17
1271|5.53|4413|5
1272|6.23|8058|27
1273|6.12|4521|8
1274|6.06|3293|9
1275|6.18|3362|5
1276|6.44|7367|11
1277|6.62|4849|6
1278|7.3|23535|16
1279|7.72|11390|96
1280|6.28|10842|24
1281|7.71|164466|1512
1283|6.07|3836|5
1284|6.07|2016|1
1285|5.31|14502|73
1286|5.02|7413|17
1287|5.2|3048|3
1288|7.28|29994|161
1289|7.55|8873|29
1290|6.7|10607|16
1292|7.35|328713|1625
1293|7.7|69024|908
1295|6.23|4806|3
1296|6.47|5491|1
1297|6.35|4838|1
1298|6.4|4642|1
1299|7.18|18787|62
1300|6.61|3684|4
1301|7.55|17402|123
1302|7.27|8376|20
1303|7.3|73207|224
1311|6.96|36660|37
1312|7.13|8515|30
1313|7.23|206873|688
1314|6.3|1991|7
1316|7.13|14838|127
1317|6.64|8212|8
1324|6.05|9804|19
1325|6.57|5945|22
1327|7.41|13004|66
1328|6.43|3966|3
1329|7.02|3268|3
1331|6.11|5444|6
1332|5.91|3126|4
1333|6.19|882|2
1335|7.13|24555|33
1336|7.01|7704|35
1337|6.18|3610|2
1338|5.35|6368|13
1339|6.23|6669|16
1340|5.31|3342|4
1341|5.2|10961|12
1342|5.54|9545|15
1343|5.47|7638|4
1344|6.15|3882|5
1345|3.1|3842|6
1346|6.25|15027|12
1347|7.3|42742|433
1348|6.56|9978|11
1349|5.96|10560|12
1350|6.54|15510|24
1351|5.94|16100|70
1352|7.18|24195|151
1353|5.64|3665|5
