malId|malScore|popularity|favorites
899|7.66|5418|61
900|6.25|6796|17
901|7.36|1021|6
902|7.92|3492|41
903|7.75|2139|26
904|8.66|37782|1319
905|7.43|994|8
906|7.04|3779|11
907|7.99|9657|157
908|8.09|162045|9146
909|7.22|59867|768
910|7.21|5444|59
912|7.77|64960|2635
913|6.25|2595|6
915|8.2|17071|395
916|6.95|2429|2
917|6.96|1037|3
918|7.74|7270|331
919|6.78|1682|25
920|7.41|2623|12
921|7.06|1380|25
922|7.5|7077|228
923|8.36|13649|637
924|7.26|876|13
925|6.49|853|6
926|7.98|9362|155
927||144|0
928|8.12|43243|4045
929|8.18|11590|473
930|6.42|999|3
931|7.36|2793|45
932|7.71|23930|711
933|7.88|88535|5377
934|7.26|3055|31
935|6.98|3698|88
936|8.34|85692|4604
937|7.29|2390|25
938|6.5|1451|1
939|6.86|384|3
940|6.85|2790|5
941|6.74|2409|20
942|6.53|847|2
943|7.06|705|6
944|7.36|1224|9
945|7.02|750|1
946|7.25|1203|1
948|7.38|3989|11
949|7.23|2091|8
950|6.82|3915|10
951|7.52|1579|10
952|6.83|4612|34
953|6.78|902|3
954|6.96|3562|40
955|7.91|3665|87
956|7.46|10540|221
957|6.59|970|8
958|7.28|27757|798
959|7.64|12982|206
960|7.43|1932|8
961||213|3
962|7.37|3595|47
963|7.44|878|13
964|7.4|6737|277
965|6.69|12622|83
966|6.46|7191|36
967|7.08|6351|61
968|5.94|3389|7
969|6.82|4487|84
970|7.46|17747|267
971|6.97|1007|4
972|6.78|1010|0
973|7.28|4009|44
974|8.4|18692|735
975|7.98|11680|405
976|8.06|11860|381
977|6.33|7373|23
978|6.96|3352|22
982|7.43|14264|215
983|7.53|2921|25
984|7.52|3185|77
985|7.09|1903|0
986|7.1|2289|8
987|7.47|3881|17
988|8.11|64452|3346
989|7.43|4005|27
990|7.34|3903|12
991|7.55|1503|11
992|6.64|1408|4
993|7.39|741|3
994|8.21|8835|313
995|7.28|1622|15
997|7.54|8894|147
998|6.63|9054|121
1001|6.83|1810|47
1004|6.52|334|2
1005|6.7|776|0
1006|7.44|5862|78
1007|6.29|664|0
1008||151|0
1009|8.3|20448|910
1010|6.64|1789|8
1011|6.58|863|4
1012|6.53|1374|2
1013|8.33|10939|406
1014|8.17|9460|387
1015|7.31|2278|27
1016|7.04|15908|211
1017|7.59|3097|27
1018|7.03|1046|10
1019|7.25|1139|5
1020|7.1|2108|2
1021|7.87|3430|57
1022|7.66|1353|72
1023|8.03|32647|1219
1024||447|5
1025|6.38|2425|6
1026|6.79|7038|76
1027|7.14|3145|9
1028|7.39|6995|55
1029|6.66|991|0
1030|6.55|1622|7
1031|8.02|44457|1749
1032|8.44|11937|800
1033|8.15|8417|384
1034|6.9|493|2
1035||162|1
1036|6.76|2398|20
1037|7.79|10978|318
1038|6.92|1066|18
1039|7.72|16774|240
1041|7.21|927|0
1042|7.11|3471|12
1043|6.62|3466|7
1044|7.48|3099|39
1045|7.56|16111|801
1046|7.29|4986|140
1047|8.27|13720|996
1048|7.66|6018|103
1049|7.68|6753|94
1050|7.18|626|3
1051|7.81|10812|279
1052||189|2
1053|7.17|531|12
1054||389|5
1055|7.13|788|14
1056||255|0
1057|6.94|961|14
1059|6.96|2676|9
1060|6.73|831|4
1061|8.29|51823|5217
1062|7.39|1778|19
1063|7.18|2991|34
1065|6.82|1861|18
1066|7.6|1992|16
1067|8|5358|99
1068|7.62|4468|29
1069|7.23|3448|60
1071|7.2|1704|12
1072|7.83|4268|157
1073|7.01|597|11
1075|8.22|18286|661
1076|8.13|14530|480
1077|7.39|2443|3
1078|6.65|480|0
1079|7.81|10557|263
1080|6.48|4318|34
1081|7.27|1289|10
1082|7.3|1803|33
1083||143|2
1085|7.71|6806|141
1086|7.56|8329|184
1087|7.27|6679|108
1088|7|7570|40
1089|6.82|1635|29
1090|7.17|876|6
1091|7.23|979|23
1092|8.09|14876|411
1093|7.6|3871|41
1094|6.78|755|8
1095|6.63|538|0
1096|7.23|6281|46
1097|8.28|9802|263
1098|6.96|575|0
1099||490|4
1100|7.72|1539|38
1101|8.18|53947|1728
1102|7.65|30585|1004
1103|7.27|1263|2
1104|6.87|1935|16
1105|7.55|2230|43
1107|6.93|552|13
1108|7.19|611|4
1109|6.7|727|7
1110|8.18|17526|448
1111|8.31|12627|378
1113|6.99|6649|21
1114|6.71|975|8
1115|7.06|756|11
1116|6.89|796|6
1117|6.47|479|9
1118|6.9|3534|4
1119|7.41|2594|13
1121|7.72|28306|797
1122|7.26|867|5
1125|7.47|2238|14
